date,complete,articles,war_articles,acts,threats,energy,peace,risk_balance,attention,attention_change,risk_change,news_innovation,macro
2026-07-06,True,9,1,0,0,1,0,8.333333333333334,0.6931471805599453,0.6931471805599453,8.333333333333334,0.6931471805599453,False
2026-07-07,True,3,1,1,0,1,0,33.333333333333336,0.6931471805599453,0.0,25.0,0.0,False
2026-07-08,True,6,3,0,1,0,1,8.333333333333334,1.3862943611198906,0.6931471805599453,-25.0,0.6931471805599453,False
2026-07-09,True,2,2,2,1,0,0,100.0,1.0986122886681098,-0.2876820724517808,91.66666666666667,0.2876820724517808,False
2026-07-10,True,1,0,0,0,0,0,0.0,0.0,-1.0986122886681098,-100.0,1.0986122886681098,False
2026-07-13,True,7,4,2,1,4,0,50.0,1.6094379124341003,1.6094379124341003,50.0,1.6094379124341003,False
2026-07-14,True,3,1,1,1,1,0,33.333333333333336,0.6931471805599453,-0.916290731874155,-16.666666666666664,0.916290731874155,True
2026-07-15,True,2,2,1,1,2,0,87.5,1.0986122886681098,0.4054651081081645,54.166666666666664,0.4054651081081645,False
2026-07-16,True,3,3,2,0,2,0,91.66666666666667,1.3862943611198906,0.2876820724517808,4.166666666666671,0.2876820724517808,False
2026-07-17,True,2,2,2,0,0,0,100.0,1.0986122886681098,-0.2876820724517808,8.333333333333329,0.2876820724517808,False
2026-07-20,True,6,6,4,3,0,0,75.0,1.9459101490553132,0.8472978603872034,-25.0,0.8472978603872034,False
2026-07-21,True,5,3,1,1,0,0,35.0,1.3862943611198906,-0.5596157879354227,-40.0,0.5596157879354227,False
2026-07-22,True,5,3,3,1,0,0,60.0,1.3862943611198906,0.0,25.0,0.0,False
2026-07-23,True,4,2,1,0,0,0,31.25,1.0986122886681098,-0.2876820724517808,-28.75,0.2876820724517808,False
2026-07-24,True,4,2,2,1,0,0,50.0,1.0986122886681098,0.0,18.75,0.0,False
2026-07-27,True,5,3,2,2,0,1,30.0,1.3862943611198906,0.2876820724517808,-20.0,0.2876820724517808,False
2026-07-28,True,1,1,1,0,0,0,100.0,0.6931471805599453,-0.6931471805599453,70.0,0.6931471805599453,False
2026-07-29,True,2,1,1,0,0,0,50.0,0.6931471805599453,0.0,-50.0,0.0,True
2026-07-30,True,4,3,0,1,0,1,0.0,1.3862943611198906,0.6931471805599453,-50.0,0.6931471805599453,False
2026-07-31,True,2,1,1,0,1,0,50.0,0.6931471805599453,-0.6931471805599453,50.0,0.6931471805599453,False
2026-08-03,True,5,3,1,1,1,3,-15.0,1.3862943611198906,0.6931471805599453,-65.0,0.6931471805599453,False
2026-08-04,True,3,2,0,1,2,1,25.0,1.0986122886681098,-0.2876820724517808,40.0,0.2876820724517808,False
2026-08-05,True,1,1,0,0,1,0,75.0,0.6931471805599453,-0.4054651081081645,50.0,0.4054651081081645,False
2026-08-06,True,1,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-75.0,0.6931471805599453,False
2026-08-07,True,2,1,0,0,0,1,-37.5,0.6931471805599453,0.6931471805599453,-37.5,0.6931471805599453,True
2026-08-10,True,5,3,0,0,1,1,5.0,1.3862943611198906,0.6931471805599453,42.5,0.6931471805599453,False
2026-08-11,True,0,0,0,0,0,0,0.0,0.0,-1.3862943611198906,-5.0,1.3862943611198906,False
2026-08-12,True,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True
2026-08-13,True,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-08-14,True,1,1,0,1,1,0,100.0,0.6931471805599453,0.6931471805599453,100.0,0.6931471805599453,False
2026-08-17,True,3,1,1,1,0,0,33.333333333333336,0.6931471805599453,0.0,-66.66666666666666,0.0,False
2026-08-18,True,0,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-33.333333333333336,0.6931471805599453,False
2026-08-19,True,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-08-20,True,1,1,1,1,0,0,100.0,0.6931471805599453,0.6931471805599453,100.0,0.6931471805599453,False
2026-08-21,True,0,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-100.0,0.6931471805599453,False
2026-08-24,True,5,5,1,3,0,0,55.0,1.791759469228055,1.791759469228055,55.0,1.791759469228055,False
2026-08-25,True,3,2,0,2,1,0,50.0,1.0986122886681098,-0.6931471805599452,-5.0,0.6931471805599452,False
2026-08-26,True,3,1,0,0,1,0,25.0,0.6931471805599453,-0.4054651081081645,-25.0,0.4054651081081645,False
2026-08-27,True,1,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-25.0,0.6931471805599453,False
2026-08-28,True,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-08-31,True,3,1,0,1,0,0,16.666666666666668,0.6931471805599453,0.6931471805599453,16.666666666666668,0.6931471805599453,False
2026-09-01,True,0,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-16.666666666666668,0.6931471805599453,False
2026-09-02,True,1,1,1,0,0,0,100.0,0.6931471805599453,0.6931471805599453,100.0,0.6931471805599453,False
2026-09-03,True,4,3,1,1,0,0,43.75,1.3862943611198906,0.6931471805599453,-56.25,0.6931471805599453,False
2026-09-04,True,1,1,1,0,0,0,100.0,0.6931471805599453,-0.6931471805599453,56.25,0.6931471805599453,True
2026-09-08,True,6,3,1,3,2,0,41.666666666666664,1.3862943611198906,0.6931471805599453,-58.333333333333336,0.6931471805599453,False
2026-09-09,True,2,1,1,0,1,0,50.0,0.6931471805599453,-0.6931471805599453,8.333333333333336,0.6931471805599453,False
2026-09-10,True,1,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-50.0,0.6931471805599453,False
2026-09-11,True,2,2,0,0,0,0,25.0,1.0986122886681098,1.0986122886681098,25.0,1.0986122886681098,True
2026-09-14,True,5,1,0,0,1,1,-5.0,0.6931471805599453,-0.4054651081081645,-30.0,0.4054651081081645,False
2026-09-15,True,3,1,0,0,0,0,8.333333333333334,0.6931471805599453,0.0,13.333333333333334,0.0,False
2026-09-16,True,4,2,0,0,0,0,12.5,1.0986122886681098,0.4054651081081645,4.166666666666666,0.4054651081081645,True
2026-09-17,True,1,1,1,0,0,0,100.0,0.6931471805599453,-0.4054651081081645,87.5,0.4054651081081645,False
